County,Year,All causes (total),Alzheimer's disease,Malignant neoplasms,Chronic lower respiratory diseases,Diabetes mellitus,Assault (homicide),Diseases of heart,Essential hypertension and hypertensive renal disease,Accidents (unintentional injuries),Chronic liver disease and cirrhosis,"Nephritis, nephrotic syndrome and nephrosis",Parkinson's disease,Influenza and pneumonia,Cerebrovascular diseases,Intentional self-harm (suicide),annual_mean_pm25,annual_mean_ozone,annual_mean_pb,annual_mean_pm10,annual_mean_co,annual_mean_no2,annual_mean_so2,FIPS,asthma_er_avg,cancer_incidence_rate,asthma_deaths,Bladder_Surgery_Ct,Brain_Surgery_Ct,Breast_Surgery_Ct,Colon_Surgery_Ct,Esophagus_Surgery_Ct,Liver_Surgery_Ct,Lung_Surgery_Ct,Pancreas_Surgery_Ct,Prostate_Surgery_Ct,Rectum_Surgery_Ct,Stomach_Surgery_Ct,hpi2score,economic,education,housing,healthcareaccess,neighborhood,pollution,transportation,social,insured,uncrowded,homeownership,automobile,commute,inpreschool,inhighschool,bachelorsed,employed,abovepoverty,income,tree_canopy,supermarkets,park_access,h2o_contam,Population
Alameda,2017,0.006064645379220285,3.7585923589744826e-4,0.0013522499753041207,2.5689737838182963e-4,2.2105823649737742e-4,6.023385190664235e-5,0.0011817881744083229,1.5811386125493617e-4,2.46055285038634e-4,9.908468638642666e-5,9.004960860043031e-5,7.95086845167679e-5,1.4395890605687522e-4,4.8578601562707053e-4,8.643557748603177e-5,10.324091671324762,0.03171895043731778,NA,NA,0.6425326909841707,22.72096,1.6348082595870206,6001,8061.666666666667,120.7,67,1.5660801495727012e-5,3.132160299145402e-5,6.64379386530265e-4,1.8913429498685697e-4,2.3491202243590516e-5,3.9754342258383946e-5,8.673674674556498e-5,3.373095706771972e-5,5.300578967784527e-5,6.625723709730659e-5,1.927483261012555e-5,0.3532966057215909,0.4235986755369318,0.30200353412500003,0.16961546221875,0.5671394360852273,0.10617285166193181,0.6773419099261364,0.3752926777784091,0.20298288955681817,86.28863636363636,93.18380681818182,53.16619318181818,89.94545454545455,21.369066847511363,59.540113636363635,97.91136363636363,43.26875,72.69801136363637,72.09681451326705,81783.44886363637,8.817190045454545,57.22351173209375,92.67841573863636,118.7139589165625,1660196
Alameda,2018,0.006025477034430954,3.839794187031575e-4,0.001369126614813446,2.459868151067103e-4,1.973894199270919e-4,5.3097153992546e-5,0.001211635056360979,1.4789207298488802e-4,2.690855770130721e-4,9.779475820096042e-5,9.68948064383749e-5,7.799581942407887e-5,1.5359176748126302e-4,4.103780037389996e-4,1.0079459740957885e-4,12.913035019455252,0.030981121281464533,NA,NA,0.6169452449567724,22.76989918386942,1.3513966480446928,6001,8061.666666666667,120.7,67,1.2599324676197358e-5,2.2798777985499978e-5,7.31960766902894e-4,1.7999035251710507e-4,2.999839208618418e-5,4.1997748920657855e-5,9.479491899234201e-5,4.0197845395486805e-5,5.5797009280302575e-5,6.719639827305257e-5,2.1598842302052612e-5,0.3532966057215909,0.4235986755369318,0.30200353412500003,0.16961546221875,0.5671394360852273,0.10617285166193181,0.6773419099261364,0.3752926777784091,0.20298288955681817,86.28863636363636,93.18380681818182,53.16619318181818,89.94545454545455,21.369066847511363,59.540113636363635,97.91136363636363,43.26875,72.69801136363637,72.09681451326705,81783.44886363637,8.817190045454545,57.22351173209375,92.67841573863636,118.7139589165625,1666756
Alameda,2019,0.00610980842192052,3.6886812829789944e-4,0.0013423449243087388,2.3903133374697622e-4,2.1001251100172377e-4,5.5046014279654093e-05,0.0012325520588705157,1.52274028632304e-4,3.1142880904956474e-4,1.0321127677435143e-4,8.82531207200976e-5,8.137236893514084e-5,1.2983679455092325e-4,4.475480291432746e-4,9.33388937785439e-5,7.329480580252691,0.031640738668158926,NA,NA,0.55,21.401722532588455,1.312857142857143,6001,8061.666666666667,120.7,67,1.495815605425383e-5,2.5129702171146436e-5,7.179914906041839e-4,1.6094975914377122e-4,3.649790077237935e-5,3.8292879498889805e-5,1.4299997187866662e-4,3.8292879498889805e-5,7.957739020863037e-5,6.641421288088701e-5,1.7351461022934442e-5,0.3532966057215909,0.4235986755369318,0.30200353412500003,0.16961546221875,0.5671394360852273,0.10617285166193181,0.6773419099261364,0.3752926777784091,0.20298288955681817,86.28863636363636,93.18380681818182,53.16619318181818,89.94545454545455,21.369066847511363,59.540113636363635,97.91136363636363,43.26875,72.69801136363637,72.09681451326705,81783.44886363637,8.817190045454545,57.22351173209375,92.67841573863636,118.7139589165625,1671329
Butte,2017,0.010988386329450449,8.242382901318781e-4,0.002278133417287578,7.455311855039003e-4,3.541819708258999e-4,NA,0.002378703606534439,1.202469654038549e-4,6.230979116381572e-4,2.3830762234582152e-4,1.0057018924686046e-4,1.9239514464616784e-4,2.317486969601567e-4,6.493336131808164e-4,1.8583621926050302e-4,9.984574868322047,0.04402646239554318,0.0022714285714285714,22.15076923076923,0.3512328767123288,14.332782369146006,NA,6007,865.3333333333334,133.7,NA,1.3117850771329627e-5,4.372616923776542e-5,0.0011325077832581244,3.2794626928324064e-4,0,8.745233847553084e-6,6.121663693287159e-5,4.372616923776542e-6,2.798474831216987e-4,1.574142092559555e-4,1.7490467695106168e-5,-0.18965448270588237,-0.6662109517843138,-0.17854541915686276,0.2022795652352941,0.21846370219607844,0.24802919582352942,0.25280057221568625,-0.045707606941176475,0.08570329456862745,82.05882352941177,96.66666666666667,57.96666666666667,92.97058823529412,7.400099557078431,46.57843137254902,97.46274509803922,25.28627450980392,61.411764705882355,55.117515392549024,45160.41176470588,25.23308494901961,26.117615407941177,61.160592745098036,452.6342500117647,228696
Butte,2018,0.01132678356682976,8.639440129548188e-4,0.0023921263876286692,5.687269633019159e-4,2.1055921923773222e-4,NA,0.0025050034948488967,1.1070639361983858e-4,9.572846977715454e-4,2.2358350084006616e-4,8.899925761594867e-5,1.1287710722022758e-4,3.0389990405445884e-4,5.687269633019159e-4,2.387784960427891e-4,14.488928317955997,0.04463842662632375,0.004816451612903226,31.03932584269663,0.46821917808219177,15.176731301939059,NA,6007,865.3333333333334,133.7,NA,3.0389990405445888e-5,6.0779980810891775e-5,0.0014109638402528446,2.56144204845901e-4,0,2.170713600388992e-5,6.077998081089177e-5,2.6048563204667902e-5,3.8204559366846255e-4,1.345842432241175e-4,2.6048563204667906e-5,-0.18965448270588237,-0.6662109517843138,-0.17854541915686276,0.2022795652352941,0.21846370219607844,0.24802919582352942,0.25280057221568625,-0.045707606941176475,0.08570329456862745,82.05882352941177,96.66666666666667,57.96666666666667,92.97058823529412,7.400099557078431,46.57843137254902,97.46274509803922,25.28627450980392,61.411764705882355,55.117515392549024,45160.41176470588,25.23308494901961,26.117615407941177,61.160592745098036,452.6342500117647,230339
Butte,2019,0.009879736844506493,6.296022556185158e-4,0.0020758625094668454,6.638197695108264e-4,2.0986741853950525e-4,NA,0.002148859872437108,1.0265254167693193e-4,6.706632722892885e-4,1.96180412982581e-4,1.2090188241949759e-4,1.0493370926975262e-4,1.938992453897603e-4,5.474802222769702e-4,1.938992453897603e-4,6.97097288676236,0.04233383915022762,0.0014282758620689656,19.914285714285715,0.3159779614325069,14.428366762177651,NA,6007,865.3333333333334,133.7,NA,4.562335185641419e-6,5.931035741333844e-5,9.854644000985464e-4,2.418037648389952e-4,0,1.3687005556924256e-5,5.931035741333844e-5,2.7374011113848512e-5,2.7830244632412655e-4,1.0037137408411121e-4,1.3687005556924256e-5,-0.18965448270588237,-0.6662109517843138,-0.17854541915686276,0.2022795652352941,0.21846370219607844,0.24802919582352942,0.25280057221568625,-0.045707606941176475,0.08570329456862745,82.05882352941177,96.66666666666667,57.96666666666667,92.97058823529412,7.400099557078431,46.57843137254902,97.46274509803922,25.28627450980392,61.411764705882355,55.117515392549024,45160.41176470588,25.23308494901961,26.117615407941177,61.160592745098036,452.6342500117647,219186
Calaveras,2017,0.009248921871237496,4.2687331713403825e-4,0.0023970578577526764,5.582189531752808e-4,2.4080033274227798e-4,NA,0.0022438212823712267,NA,5.03491604824763e-4,NA,NA,NA,NA,5.253825441649702e-4,2.4080033274227798e-4,13.379148936170212,0.047273504273504276,NA,16.58744394618834,NA,NA,NA,6009,194.33333333333334,111.4,NA,0,0,8.756375736082835e-5,4.3781878680414175e-5,0,0,0,0,0,0,0,-0.16451680877777777,-0.4675937936666667,-0.75251711033333335,0.4911691068888889,0.38122826955555555,0.4554319182222222,0.5705284197777778,-0.053627869,0.22247740144444444,84.03333333333333,98.05555555555556,78.87777777777778,96.14444444444445,2.9076050726666667,31.099999999999998,91.82222222222222,23.233333333333334,58.37777777777777,69.03461118666667,53673.444444444445,35.94499037777778,22.960011906888887,40.82194666666667,418.0990128955556,45681
Calaveras,2018,0.009967613462295943,4.0483172130071336e-4,0.00233051774694735,6.017768830145739e-4,3.610661298087444e-4,NA,0.002363341940566327,NA,4.485973127926824e-4,3.063591404437831e-4,NA,NA,3.063591404437831e-4,4.0483172130071336e-4,2.844763446977986e-4,14.665546218487394,0.04509497206703911,NA,14.254901960784315,NA,NA,NA,6009,194.33333333333334,111.4,NA,0,0,2.1882795745984508e-5,8.753118298393803e-5,0,0,0,0,0,2.1882795745984508e-5,0,-0.16451680877777777,-0.4675937936666667,-0.75251711033333335,0.4911691068888889,0.38122826955555555,0.4554319182222222,0.5705284197777778,-0.053627869,0.22247740144444444,84.03333333333333,98.05555555555556,78.87777777777778,96.14444444444445,2.9076050726666667,31.099999999999998,91.82222222222222,23.233333333333334,58.37777777777777,69.03461118666667,53673.444444444445,35.94499037777778,22.960011906888887,40.82194666666667,418.0990128955556,45698
Calaveras,2019,0.009454307809606797,4.7925062629343207e-4,0.0020477072214355736,6.099553425552772e-4,2.5051737283520315e-4,NA,0.002254656355516828,NA,5.990632828667902e-4,2.3962531314671603e-4,NA,NA,3.267617906546128e-4,4.574665069164579e-4,NA,5.46094674556213,0.04359428571428572,NA,12.625368731563421,NA,NA,NA,6009,194.33333333333334,111.4,NA,0,0,4.3568238753948375e-5,6.535235813092256e-5,0,0,0,0,0,2.1784119376974187e-5,0,-0.16451680877777777,-0.4675937936666667,-0.75251711033333335,0.4911691068888889,0.38122826955555555,0.4554319182222222,0.5705284197777778,-0.053627869,0.22247740144444444,84.03333333333333,98.05555555555556,78.87777777777778,96.14444444444445,2.9076050726666667,31.099999999999998,91.82222222222222,23.233333333333334,58.37777777777777,69.03461118666667,53673.444444444445,35.94499037777778,22.960011906888887,40.82194666666667,418.0990128955556,45905
Colusa,2017,0.006464618378979563,5.792668798368784e-4,0.0012280457852541823,NA,NA,0,0.0017146299643171603,0,NA,0,NA,NA,0,NA,NA,6.321030640668524,0.039648026315789474,NA,24.005797101449275,NA,NA,NA,6011,94.33333333333333,98.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1447470678,-0.378980184,-0.365373377,0.4594347276,-0.5282813824,-0.1420032638,0.5987089398,-0.1261296796,0.4567167392,73,92.44,61.699999999999996,94.7,3.169031037,41.14,98.14,15.36,65.88,58.221613088,51346.6,8.12567008,44.5582421262,61.111402,454.84810508000004,21579
